jfor2,Loops_for,easy,us13A12,RANDOM::BASELINE,QMeasure,0.33,High
jfor2,Loops_for,easy,us13A12,RANDOM::BASELINE,RMSE,0.68,High
jfor1,Loops_for,easy,us13A12,RANDOM::BASELINE,AP,0.25,High
jfor1,Loops_for,easy,us13A12,RANDOM::BASELINE,nDCG,0.5,High
jfor1,Loops_for,easy,us13A12,RANDOM::BASELINE,QMeasure,0.4,High
jfor1,Loops_for,easy,us13A12,RANDOM::BASELINE,RMSE,0.66,High
jclass1,Classes,medium,us13A12,RANDOM::BASELINE,AP,0.32,High
jclass1,Classes,medium,us13A12,RANDOM::BASELINE,nDCG,0.47,High
jclass1,Classes,medium,us13A12,RANDOM::BASELINE,QMeasure,0.45,High
jclass1,Classes,medium,us13A12,RANDOM::BASELINE,RMSE,0.6,High
jboolean_operators1,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,AP,0.59,Low
jboolean_operators1,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,nDCG,0.78,Low
jboolean_operators1,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,QMeasure,0.64,Low
jboolean_operators1,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,RMSE,0.51,Low
jboolean_var,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,AP,0.81,Low
jboolean_var,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,nDCG,0.72,Low
jboolean_var,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,QMeasure,0.7,Low
jboolean_var,Boolean_Expressions,easy,us13C07,RANDOM::BASELINE,RMSE,0.51,Low
jvariable1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,AP,1,Low
jvariable1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,nDCG,0.88,Low
jvariable1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,QMeasure,0.84,Low
jvariable1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,RMSE,0.25,Low
jwhile3,Loops_while,medium,us13C07,RANDOM::BASELINE,AP,1,Low
jwhile3,Loops_while,medium,us13C07,RANDOM::BASELINE,nDCG,1,Low
jwhile3,Loops_while,medium,us13C07,RANDOM::BASELINE,QMeasure,1,Low
jwhile3,Loops_while,medium,us13C07,RANDOM::BASELINE,RMSE,0.51,Low
jwhile4,Loops_while,medium,us13C07,RANDOM::BASELINE,AP,0.81,Low
jwhile4,Loops_while,medium,us13C07,RANDOM::BASELINE,nDCG,0.81,Low
jwhile4,Loops_while,medium,us13C07,RANDOM::BASELINE,QMeasure,0.84,Low
jwhile4,Loops_while,medium,us13C07,RANDOM::BASELINE,RMSE,0.43,Low
joperator1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,AP,1,Low
joperator1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,nDCG,0.88,Low
joperator1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,QMeasure,0.84,Low
joperator1,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,RMSE,0.25,Low
jincrement,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,AP,1,Low
jincrement,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,nDCG,1,Low
jincrement,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,QMeasure,1,Low
jincrement,Arithmetic_Operations,easy,us13C07,RANDOM::BASELINE,RMSE,0.43,Low
