P::GLOBAL::COS,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
P::GLOBAL::AS::GOAL,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
P::GLOBAL::COS::GOAL,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
P::LOCAL::AS::GOAL,2,0.25,16.44,OverridingObjectMethods:0.25:16.44
P::LOCAL::AS::GOAL,2,1.0,4.06,inheritance_constructors_1:1.0:4.06
P::LOCAL::COS::GOAL,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
NAIVE::LOCAL,1,1.0,34.33,TypeCasting_v2:1.0:34.33
GLOBAL::AS,1,1.0,34.33,TypeCasting_v2:1.0:34.33
LOCAL::AS,1,1.0,34.33,TypeCasting_v2:1.0:34.33
LOCAL::COS,1,1.0,34.33,TypeCasting_v2:1.0:34.33
P::LOCAL::AS,1,1.0,34.33,TypeCasting_v2:1.0:34.33
P::LOCAL::AS::GOAL,1,1.0,34.33,TypeCasting_v2:1.0:34.33
NAIVE::LOCAL,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
GLOBAL::AS,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
GLOBAL::COS,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::GLOBAL::AS,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::GLOBAL::COS,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::LOCAL::AS,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::GLOBAL::AS::GOAL,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::GLOBAL::COS::GOAL,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::LOCAL::AS::GOAL,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
P::LOCAL::COS::GOAL,1,1.0,6.33,StringsEqualsIgnoreCase:1.0:6.33
GLOBAL::AS,1,1.0,11.28,CreateString_v2:1.0:11.28
GLOBAL::COS,1,1.0,11.28,CreateString_v2:1.0:11.28
P::GLOBAL::AS,1,1.0,11.28,CreateString_v2:1.0:11.28
